github.name,github.score,github.size,github.forks,github.open_issues,github.watchers,github.stars
kripken/BananaBread,1,405430,212,39,1071,1071
alexey-pelykh/webp-android-backport,1,1099,114,3,505,505
rime/librime,1,16761,235,39,1094,1094
rime/weasel,1,12507,205,76,1031,1031
huceke/omxplayer,1,2406,412,69,491,491
rovo89/Xposed,1,205,1097,137,4961,4961
rovo89/Xposed,1,205,1097,137,4961,4961
appjs/appjs,1,5055,388,164,3466,3466
appjs/appjs,1,5055,388,164,3466,3466
WeAreROLI/JUCE,1,215359,659,139,1575,1575
rainmeter/rainmeter,1,14051,394,33,1828,1828
bkaradzic/bgfx,1,183623,1028,217,6375,6375
emeryberger/Hoard,1,760,80,3,511,511
farbrausch/fr_public,1,47174,260,17,2213,2213
mltframework/shotcut,1,34901,271,45,2337,2337
PixarAnimationStudios/OpenSubdiv,1,42631,441,56,2202,2202
sass/node-sass,1,24424,915,164,6344,6344
Grive/grive,1,1116,367,217,1608,1608
Grive/grive,1,1116,367,217,1608,1608
phpv8/v8js,1,1609,146,32,1234,1234
phpv8/v8js,1,1609,146,32,1234,1234
simonfuhrmann/mve,1,3696,275,8,526,526
mscdex/mmmagic,1,4924,32,7,531,531
milesburton/Arduino-Temperature-Control-Library,1,167,341,8,599,599
ReadyTalk/avian,1,20418,158,40,1154,1154
supercollider/supercollider,1,157924,446,605,2528,2528
cgdb/cgdb,1,7730,126,47,1064,1064
cgdb/cgdb,1,7730,126,47,1064,1064
snap-stanford/snap,1,160855,585,54,1214,1214
thestinger/termite,1,696,195,101,2208,2208
thestinger/termite,1,696,195,101,2208,2208
FortySevenEffects/arduino_midi_library,1,1381,131,22,622,622
musescore/MuseScore,1,362828,1194,187,3724,3724
STEllAR-GROUP/hpx,1,907761,253,197,1210,1210
serge-sans-paille/pythran,1,33006,105,84,1084,1084
facebook/folly,1,24617,3141,168,13094,13094
progschj/OpenGL-Examples,1,308,118,6,536,536
pfultz2/Linq,1,236,68,2,528,528
jessek/hashdeep,1,6668,94,109,432,432
apache/incubator-pagespeed-ngx,1,81134,332,305,4042,4042
logcabin/logcabin,1,3718,179,58,1129,1129
logcabin/logcabin,1,3718,179,58,1129,1129
lemire/FastPFor,1,981,70,9,460,460
Y-Vladimir/SmartDeblur,1,51895,307,12,1787,1787
mstorsjo/fdk-aac,1,7472,228,17,546,546
tojocky/node-printer,1,224,226,78,950,950
eigengo/akka-patterns,1,4314,61,10,576,576
msgpack/msgpack-c,1,13416,593,50,1648,1648
zeux/pugixml,1,6192,335,13,1780,1780
zeux/pugixml,1,6192,335,13,1780,1780
harfbuzz/harfbuzz,1,43049,273,160,1060,1060
Aloshi/EmulationStation,1,7002,658,441,1483,1483
Aloshi/EmulationStation,1,7002,658,441,1483,1483
opencv/opencv,1,469785,25877,1724,35506,35506
multiwii/multiwii-firmware,1,3172,372,14,398,398
swoole/swoole-src,1,34163,2688,55,13485,13485
elad/node-imagemagick-native,1,1761,124,52,564,564
alibaba/tfs,1,1600,409,21,934,934
